gene_id	transcript_id(s)	3h_Sal-Brk-dark_2	3h_Sal-Brk-dark_3	3h_Sal-Brk-light_2	3h_Sal-Brk-light_3	3h_Ubi-Brk-light_2	3h_Ubi-Brk-light_3
FBgn0000206	FBtr0084949	1.00	1.00	0.00	0.00	0.00	1.00
FBgn0000212	FBtr0075523,FBtr0075524,FBtr0075525,FBtr0075526,FBtr0330160,FBtr0333580	25786.00	20829.00	25529.00	24216.00	24901.00	24471.00
FBgn0000216	FBtr0075621	1022.00	1501.00	1599.00	1443.00	2265.00	2248.00
FBgn0000221	FBtr0070638	576.00	615.00	702.00	744.00	790.00	750.00
FBgn0000227	FBtr0077423	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000228	FBtr0079084,FBtr0079085,FBtr0302567,FBtr0302568,FBtr0310624,FBtr0310625,FBtr0342939	2649.00	2662.00	2995.00	2914.00	3192.00	2988.00
FBgn0000229	FBtr0080087,FBtr0300982,FBtr0302378	2545.00	2795.00	3050.00	2960.00	3006.00	2890.00
FBgn0000233	FBtr0071379	9.00	35.00	9.00	5.00	39.00	14.00
FBgn0000239	FBtr0301342,FBtr0343875	6683.00	5495.00	6166.00	6616.00	6062.00	6021.00
FBgn0000241	FBtr0072117,FBtr0346612	0.00	2.00	3.00	1.00	3.00	6.00
FBgn0000244	FBtr0082119,FBtr0301093,FBtr0302382	2906.00	2292.00	2473.00	2540.00	2665.00	2557.00
FBgn0000246	FBtr0083194,FBtr0083195,FBtr0083196	433.00	452.00	455.00	495.00	558.00	531.00
FBgn0000247	FBtr0085484,FBtr0346613	3360.00	2861.00	3379.00	3216.00	3411.00	3439.00
FBgn0000250	FBtr0080844,FBtr0080845,FBtr0080846,FBtr0080847,FBtr0337081	5290.00	5627.00	6202.00	5932.00	5939.00	6000.00
FBgn0000251	FBtr0081412,FBtr0081413,FBtr0335152	0.00	1.00	10.00	0.00	0.00	1.00
FBgn0000253	FBtr0088001,FBtr0088002,FBtr0304963,FBtr0304964,FBtr0345018	47561.42	59837.82	53538.59	60968.67	52353.61	48105.92
FBgn0000256	FBtr0077511,FBtr0077512,FBtr0077513,FBtr0290077,FBtr0290078,FBtr0290079,FBtr0290080,FBtr0290081,FBtr0290082	3715.00	3867.00	4751.00	4060.00	4408.00	5047.00
FBgn0000257	FBtr0074727,FBtr0074728,FBtr0331158	1375.00	1367.00	1544.00	1412.00	1486.00	1568.00
FBgn0000259	FBtr0073558,FBtr0073560,FBtr0073561,FBtr0073562,FBtr0100540,FBtr0299569,FBtr0307896,FBtr0308084,FBtr0308085,FBtr0333204	10986.00	12514.00	12408.00	13332.00	11784.00	11981.00
FBgn0000261	FBtr0075058	7998.00	7973.00	10293.00	8304.00	9393.00	10459.00
FBgn0000273	FBtr0079851,FBtr0079852,FBtr0335495	6723.00	6348.00	6965.00	6851.00	6882.00	6936.00
FBgn0000274	FBtr0085727,FBtr0335454	0.00	0.00	1.00	2.00	0.00	0.00
FBgn0000276	FBtr0085612	7.00	0.00	0.00	7.00	0.00	11.00
FBgn0000277	FBtr0085614	0.00	0.00	2.00	1.00	0.00	6.00
FBgn0000278	FBtr0085640	0.00	0.00	0.00	2.00	0.00	10.00
FBgn0000279	FBtr0085616	0.00	1.00	2.00	1.00	0.00	8.00
FBgn0000280	FBtr0085613	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000281	FBtr0089614	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000283	FBtr0083126,FBtr0083127	19689.00	18436.00	19330.00	19945.00	19513.00	18285.00
FBgn0000286	FBtr0089647,FBtr0089648,FBtr0089649,FBtr0304887,FBtr0336835,FBtr0472669	1206.00	1280.00	1495.00	1379.00	1419.00	1551.00
FBgn0000287	FBtr0080235,FBtr0080236,FBtr0307093	10276.00	10795.00	10329.00	8917.00	9156.00	9664.00
FBgn0000289	FBtr0087526,FBtr0087527,FBtr0087528,FBtr0087529,FBtr0112795,FBtr0290034,FBtr0290035,FBtr0339960,FBtr0339961,FBtr0339962,FBtr0346946	17967.00	19067.00	18575.00	19553.00	18951.00	18474.00
FBgn0000299	FBtr0079001,FBtr0079002,FBtr0079003	12276.00	9474.00	13766.00	10858.00	11999.00	11559.00
FBgn0000303	FBtr0089367,FBtr0089368	2.00	1.00	1.00	0.00	3.00	5.00
FBgn0000307	FBtr0080838,FBtr0080839,FBtr0321313,FBtr0475053	7655.84	6713.93	8465.91	7552.82	8736.58	8808.67
FBgn0000308	FBtr0079233,FBtr0079234,FBtr0079235,FBtr0079236,FBtr0309212,FBtr0309213	43916.00	51757.00	52473.00	55415.00	52470.00	53519.00
FBgn0000316	FBtr0070064,FBtr0070065	3206.00	2629.00	3039.00	3103.00	3098.00	3086.00
FBgn0000317	FBtr0080723,FBtr0080724,FBtr0343686,FBtr0343687	6917.00	4339.00	6600.00	5679.00	6558.00	6769.00
FBgn0000318	FBtr0079095,FBtr0329967,FBtr0329968	4723.00	5451.00	5326.00	5870.00	5211.00	5169.00
